Config,Name,N,Mean,Std Dev,Var,Std Err,Min ConfInt t95,Max ConfInt t95,Min ConfInt t90,Max ConfInt t90
Third-n4,lifeTime:mean,4,1104.181,158.3,25058.745,35.397,1030.343,1178.019,1043.121,1165.24
Third-n4,lifeTime:min,4,0.058,0.037,0.001,0.008,0.04,0.075,0.043,0.072
Third-n4,lifeTimeU1:max,4,49.795,6.977,48.682,1.56,46.541,53.05,47.104,52.487
Third-n4,lifeTimeU1:mean,4,8.644,0.327,0.107,0.073,8.491,8.796,8.517,8.77
Third-n4,lifeTimeU1:min,4,0.06,0.038,0.001,0.008,0.042,0.077,0.045,0.074
Third-n4,lifeTimeU2:max,4,6525.21,643.01,413462.102,143.781,6225.281,6825.138,6277.187,6773.233
Third-n4,lifeTimeU2:mean,4,3204.416,527.195,277934.883,117.884,2958.509,3450.323,3001.065,3407.767
Third-n4,lifeTimeU2:min,4,2.947,3.533,12.484,0.79,1.299,4.595,1.584,4.31
Third-n5,lifeTime:max,5,5969.217,845.964,715655.34,189.163,5574.622,6363.812,5642.91,6295.524
Third-n5,lifeTime:mean,5,1037.673,133.46,17811.444,29.842,975.422,1099.925,986.195,1089.152
Third-n5,lifeTime:min,5,0.051,0.025,0.001,0.005,0.039,0.062,0.041,0.06
Third-n5,lifeTimeU1:max,5,50.583,10.433,108.841,2.333,45.716,55.449,46.558,54.607
Third-n5,lifeTimeU1:mean,5,8.597,0.367,0.135,0.082,8.426,8.769,8.456,8.739
Third-n5,lifeTimeU1:min,5,0.058,0.027,0.001,0.006,0.046,0.071,0.048,0.069
Third-n5,lifeTimeU2:max,5,5969.217,845.964,715655.34,189.163,5574.622,6363.812,5642.91,6295.524
Third-n5,lifeTimeU2:mean,5,2981.114,444.981,198007.943,99.501,2773.555,3188.672,2809.475,3152.753
Third-n5,lifeTimeU2:min,5,2.375,3.348,11.208,0.749,0.814,3.937,1.084,3.667
